tweet_id, user_id
'505048782846050304','499534397'
'505049245427064832','190688260'
'505049825365487616','2576836890'
'505049902385086464','65832481'
'505049997306380288','46899351'
'505050207714045952','184293744'
'505050299657371649','2576836890'
'505050308364750848','499534397'
'505050341113470976','309354743'
'505050492704399360','2742354139'
'505050603396276224','1420660507'
'505050605639843841','1658575568'
'505050607107837952','334626794'
'505050702172135424','499534397'
'505050718378942464','376775407'
'505050728474222593','160087494'
'505050862238986240','2769866904'
'505050868073660417','2218836026'
'505051033362382848','2399902512'
'505051080904814592','919927818'
'505051142435659776','2218836026'
'505051157065367552','2576836890'
'505051184827490306','733251096'
'505051191928438784','318358387'
'505051218368921600','919927818'
'505051279476137984','968640829'
'505051325126938624','1351326576'
'505051379077877760','208886050'
'505051393049100288','190688260'
'505051752907812864','2570943926'
'505051781165228034','46847649'
'505051865646903297','13477342'
'505051952422875137','953695980'
'505051994529468416','2218836026'
'505051995116683264','953695980'
'505052026095796225','953695980'
'505052043640582146','953695980'
'505052062691110912','499534397'
'505052101295079424','213521922'
'505052103597756416','1557955166'
'505052105359364096','380281206'
'505052106516992000','1624018464'
'505052116017115136','241244162'
'505052137051947010','1584981260'
'505052221378408449','20017262'
'505052272099729408','299699905'
'505052274146570240','17192126'
'505052294367686656','17192126'
'505052315963756545','2280470022'
'505052317377257472','223761032'
'505052323077304320','143170703'
'505052323807100928','143170703'
'505052325325438976','143170703'
'505052390262071296','499534397'
'505052509023776769','1732442784'
'505052554255171584','375155640'
'505052580532453376','183557527'
'505052641115009024','2522828272'
'505052742189326336','537964292'
'505052972338794496','16984207'
'505053036616495104','849210259'
'505053180515065856','1305257677'
'505053276493348865','1165905824'
'505053288992362496','2511115843'
'505053303063855104','65832481'
'505053382424674304','43842243'
'505053579946631168','2684369809'
'505053584098988032','724445520'
'505053588230381568','21568664'
'505053670028091392','2312913461'
'505053719537672192','30304152'
'505053798616662016','73843'
'505053834595803136','744474864'
'505053914463342592','2774768274'
'505053962782146560','47264898'
'505053979550957569','2156561740'
'505054027177275392','623095913'
'505054074568736768','499534397'
'505054119392866304','65832481'
'505054147801260032','953695980'
'505054185449324544','953695980'
'505054305775546368','17383707'
'505054337316708353','32393208'
'505054394539593729','574154965'
'505054430333788160','40470696'
'505054524629716992','52642561'
'505054652556382209','20059376'
'505054663696449536','1069092667'
'505054689021685760','2463112652'
'505054700820258818','22659609'
'505054723586924544','221438014'
'505054768008417280','122278329'
'505054826263113728','121739639'
'505054923420364800','305616463'
'505054967070470144','1284488917'
'505054983033978880','531125435'
'505054999253385217','41591794'
'505055013874327552','1681232352'
'505055074796982273','222559625'
'505055191138574337','12974532'
'505055224768516097','430199139'
'505055233886924800','22490533'
'505055280695353344','236374122'
'505055317965955072','953695980'
'505055319442329600','236374122'
'505055333321306112','2326106832'
'505055337150701568','236374122'
'505055371023511552','486576111'
'505055470185619457','165383973'
'505055703476994048','2765493956'
'505055804219998208','2576021452'
'505055993542488064','44429719'
'505056065126686722','45556215'
'505056108151861248','17508529'
'505056111188508672','45556215'
'505056116108460032','764511667'
'505056138250190848','45556215'
'505056160450621440','272509419'
'505056225529430017','20812193'
'505056328893870080','953695980'
'505056331959914496','1099108392'
'505056401106800640','369060064'
'505056469793112064','517417379'
'505056740732579841','799657621'
'505056785691344896','1069092667'
'505056876980342785','2436776670'
'505056964426997760','2753447415'
'505057004084150272','2297323201'
'505057628691910657','311664089'
'505058001326444544','5870242'
'505058045202665472','2645532860'
'505058277802385411','107164467'
'505058319502176256','201752470'
'505058349512421376','47588815'
'505058606467674112','251437111'
'505058683194445824','46342933'
'505058775456546816','89439547'
'505058816434913280','1364720666'
'505058967106883584','1541783768'
'505059045309685761','940298172'
'505059305956335617','2753447415'
'505059391486574594','2700445634'
'505059401334398976','89439547'
'505059427729162240','724445520'
'505059429843472384','252037005'
'505059433026568192','2684369809'
'505059499028512768','257511046'
'505059682705104897','231377807'
'505059727605506048','2298138168'
'505059964675584000','24970713'
'505060089284554752','211830128'
'505060111786983425','1169070812'
'505060401651122176','287168379'
'505060443527053312','211830128'
'505060449075724288','128679707'
'505060491543056384','846945457'
'505060540956540928','2182425148'
'505060567879413760','919927818'
'505060775170674691','422659258'
'505060847605923840','120896731'
'505060983229136896','422659258'
'505061007388340224','245305204'
'505061122756456448','34121264'
'505061149898207234','422659258'
'505061191761555456','227163030'
'505061274426695680','24970713'
'505061301421625345','61569590'
'505061612441849857','19704333'
'505061633342074880','1431583028'
